Abertura,Maximo,Minimo,Fechamento,Abertura_1,Maximo_1,Minimo_1,Fechamento_1,decisao
29.50,29.58,29.45,29.45,29.45,29.48,29.31,29.38,vender
29.38,29.42,29.28,29.33,29.32,29.40,29.31,29.39,aguardar
29.38,29.44,29.33,29.37,29.37,29.40,29.33,29.37,aguardar
29.37,29.39,29.30,29.30,29.31,29.33,29.22,29.28,vender
29.27,29.29,29.25,29.28,29.29,29.29,29.22,29.24,vender
29.24,29.25,29.17,29.22,29.22,29.24,29.17,29.19,vender
29.20,29.21,29.17,29.17,29.17,29.17,29.03,29.05,vender
29.05,29.09,28.98,28.99,28.99,29.12,28.95,29.05,aguardar
29.05,29.07,29.01,29.03,29.04,29.11,29.01,29.07,aguardar
29.08,29.11,29.04,29.06,29.05,29.05,28.96,28.97,vender
28.97,28.99,28.91,28.93,28.93,28.96,28.88,28.91,vender
28.91,28.96,28.87,28.89,28.89,28.95,28.88,28.90,aguardar
28.91,28.91,28.86,28.88,28.88,28.95,28.86,28.87,aguardar
28.88,28.97,28.86,28.95,28.94,29.05,28.91,29.05,aguardar
