Abertura,Maximo,Minimo,Fechamento,Abertura_1,Maximo_1,Minimo_1,Fechamento_1,decisao
29.20,29.40,29.19,29.33,29.32,29.34,29.20,29.32,comprar
29.31,29.77,29.31,29.61,29.61,29.64,29.49,29.55,aguardar
29.53,29.60,29.51,29.58,29.57,29.63,29.53,29.59,aguardar
29.57,29.61,29.52,29.58,29.58,29.62,29.52,29.57,aguardar
29.58,29.62,29.53,29.54,29.53,29.56,29.39,29.43,vender
29.43,29.44,29.25,29.31,29.30,29.39,29.23,29.34,aguardar
29.33,29.34,29.27,29.31,29.31,29.33,29.26,29.26,vender
29.27,29.29,29.20,29.21,29.20,29.28,29.20,29.24,aguardar
29.25,29.29,29.20,29.27,29.29,29.29,29.22,29.25,aguardar
29.25,29.31,29.23,29.26,29.27,29.28,29.20,29.23,aguardar
29.24,29.25,29.14,29.19,29.19,29.23,29.18,29.20,aguardar
29.21,29.23,29.18,29.22,29.22,29.28,29.17,29.26,aguardar
29.26,29.28,29.20,29.25,29.25,29.26,29.20,29.24,aguardar
29.25,29.26,29.17,29.19,29.19,29.23,29.17,29.17,vender
29.17,29.18,29.10,29.10,29.07,29.27,29.04,29.23,comprar
29.22,29.39,29.22,29.35,29.36,29.48,29.30,29.42,comprar
29.42,29.55,29.35,29.55,29.54,29.63,29.50,29.63,comprar
29.62,29.72,29.61,29.66,29.65,29.66,29.56,29.59,vender
29.59,29.63,29.49,29.53,29.53,29.54,29.46,29.51,vender
29.50,29.51,29.46,29.49,29.49,29.50,29.44,29.49,aguardar
29.49,29.56,29.48,29.56,29.55,29.60,29.55,29.58,aguardar
29.59,29.65,29.55,29.60,29.60,29.62,29.52,29.61,aguardar
29.61,29.65,29.59,29.60,29.60,29.62,29.56,29.56,aguardar
29.56,29.58,29.49,29.51,29.51,29.54,29.49,29.53,aguardar
29.53,29.57,29.52,29.56,29.55,29.56,29.53,29.54,aguardar
29.54,29.56,29.50,29.53,29.53,29.54,29.40,29.43,aguardar
29.42,29.50,29.39,29.46,29.45,29.60,29.44,29.60,aguardar
29.60,29.62,29.57,29.58,29.59,29.59,29.50,29.54,aguardar
29.54,29.63,29.52,29.63,29.63,29.64,29.58,29.62,aguardar
