Horario,Abertura,Maximo,Minimo,Fechamento,Vol Financeiro(M),Negociação,Vol. Quantidade(M),Variação
10:00,"29,20","29,40","29,19","29,33","50,34",1.999,1.720,"0,62"
10:15,"29,32","29,34","29,20","29,32","38,61",2.470,1.320,"-0,03"
10:30,"29,31","29,77","29,31","29,61","250,03",8.599,8.480,"0,99"
,,,,,,,,
10:45,"29,61","29,64","29,49","29,55","48,78",3.258,1.650,"-0,20"
11:00,"29,53","29,60","29,51","29,58","32,76",1.870,1.110,"0,10"
11:15,"29,57","29,63","29,53","29,59","32,28",1.839,1.090,"0,03"
11:30,"29,57","29,61","29,52","29,58","32,03",1.628,1.080,"-0,03"
11:45,"29,58","29,62","29,52","29,57","24,4",1.399,0.825,"-0,03"
,,,,,,,,
12:00,"29,58","29,62","29,53","29,54","15,69",906,"0.530,50","-0,10"
12:15,"29,53","29,56","29,39","29,43","31,74",1.961,1.080,"-0,37"
12:30,"29,43","29,44","29,25","29,31","33,96",1.920,1.160,"-0,41"
12:45,"29,30","29,39","29,23","29,34","25,12",1.437,"0.856,50","0,10"
13:00,"29,33","29,34","29,27","29,31","11,44",902,"0.390,40","-0,10"
13:15,"29,31","29,33","29,26","29,26","12,68",813,"0.433,00","-0,17"
13:30,"29,27","29,29","29,20","29,21","26,09",1.120,"0.892,70","-0,17"
,,,,,,,,
13:45,"29,20","29,28","29,20","29,24","14,9",1.073,"0.509,70","0,10"
14:00,"29,25","29,29","29,20","29,27","25,04",1.417,"0.857,00","0,10"
14:15,"29,29","29,29","29,22","29,25","15,34",1.183,"0.524,40","-0,07"
14:30,"29,25","29,31","29,23","29,26","13,46",1.043,"0.460,00","0,03"
14:45,"29,27","29,28","29,20","29,23","23,34",1.338,"0.798,70","-0,10"
15:00,"29,24","29,25","29,14","29,19","70,53",1.720,2.42 ,"-0,14"
15:15,"29,19","29,23","29,18","29,20","16,26",939,"0.556,70","0,03"
15:30,"29,21","29,23","29,18","29,22","13,3",1.111,"0.455,50","0,07"
15:45,"29,22","29,28","29,17","29,26","18,97",1.740,"0.648,90","0,14"
16:00,"29,26","29,28","29,20","29,25","24,93",1.776,"0.852,20","-0,03"
16:15,"29,25","29,26","29,20","29,24","25,2",2.024,"0.862,10","-0,03"
16:30,"29,25","29,26","29,17","29,19","57,39",3.795,1.960,"-0,17"
,,,,,,,,
16:45,"29,19","29,23","29,17","29,17","188,29",3.142,6.450,"-0,07"
17:30,"29,17","29,18","29,10","29,10","6,14",325,"0.210,70","-0,24"
,,,,,,,,
10:00,"29,07","29,27","29,04","29,23","76,27",2.562,2.610,"0,45"
10:15,"29,22","29,39","29,22","29,35","47,64",2.013,1.630,"0,41"
10:30,"29,36","29,48","29,30","29,42","68,57",2.849,2.330,"0,24"
10:45,"29,42","29,55","29,35","29,55","59,3",2.835,2.010,"0,44"
11:00,"29,54","29,63","29,50","29,63","77,72",2.503,2.630,"0,27"
11:15,"29,62","29,72","29,61","29,66","69,31",2.886,2.340,"0,10"
11:30,"29,65","29,66","29,56","29,59","31,9",1.958,1.080,"-0,24"
11:45,"29,59","29,63","29,49","29,53","30,52",1.975,1.030,"-0,20"
12:00,"29,53","29,54","29,46","29,51","15,89",1.210,"0.538,90","-0,07"
12:15,"29,50","29,51","29,46","29,49","13,54",888,"0.459,40","-0,07"
12:30,"29,49","29,50","29,44","29,49","22,92",1.247,"0.777,60","0,00"
12:45,"29,49","29,56","29,48","29,56","19,96",1.134,"0.676,30","0,24"
13:00,"29,55","29,60","29,55","29,58","17,62",995,"0.595,70","0,07"
13:15,"29,59","29,65","29,55","29,60","32,53",1.620,1.100,"0,07"
13:30,"29,60","29,62","29,52","29,61","18,6",1.523,"0.628,70","0,03"
13:45,"29,61","29,65","29,59","29,60","17,09",2.064,"0.577,10","-0,03"
